Latitude (decimal degrees):	44.505
Longitude (decimal degrees):	11.345
Elevation (m):	47
Radiation database:	PVGIS-SARAH


Slope: 41 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20150101:0010,0.0,0.0,0.0,-1.24,3.45,0.0
20150101:0110,0.0,0.0,0.0,-1.67,3.22,0.0
20150101:0210,0.0,0.0,0.0,-2.1,3.0,0.0
20150101:0310,0.0,0.0,0.0,-2.53,2.77,0.0
20150101:0410,0.0,0.0,0.0,-2.79,2.52,0.0
20150101:0510,0.0,0.0,0.0,-3.05,2.28,0.0
20150101:0610,0.0,0.0,0.0,-3.31,2.03,0.0
20150101:0710,0.0,0.0,2.03,-1.83,1.67,0.0
20150101:0810,492170.0,558.88,10.06,-0.35,1.32,0.0
20150101:0910,637860.0,748.45,16.47,1.13,0.97,0.0
20150101:1010,675540.0,795.89,20.74,2.31,1.51,0.0
20150101:1110,703420.0,830.48,22.46,3.49,2.06,0.0
20150101:1210,701910.0,827.08,21.43,4.66,2.61,0.0
20150101:1310,677190.0,795.67,17.76,4.25,2.33,0.0
20150101:1410,576900.0,669.09,11.84,3.84,2.05,0.0
20150101:1510,254060.0,292.1,4.17,3.43,1.77,0.0
20150101:1610,0.0,0.0,0.0,2.1,1.97,0.0
20150101:1710,0.0,0.0,0.0,0.76,2.18,0.0
20150101:1810,0.0,0.0,0.0,-0.57,2.39,0.0
20150101:1910,0.0,0.0,0.0,-0.65,1.95,0.0
20150101:2010,0.0,0.0,0.0,-0.72,1.51,0.0
20150101:2110,0.0,0.0,0.0,-0.79,1.08,0.0
20150101:2210,0.0,0.0,0.0,-0.81,1.36,0.0
20150101:2310,0.0,0.0,0.0,-0.83,1.65,0.0
20150102:0010,0.0,0.0,0.0,-0.85,1.93,0.0
20150102:0110,0.0,0.0,0.0,-0.51,1.99,0.0
20150102:0210,0.0,0.0,0.0,-0.17,2.04,0.0
20150102:0310,0.0,0.0,0.0,0.17,2.1,0.0
20150102:0410,0.0,0.0,0.0,-0.06,1.88,0.0
20150102:0510,0.0,0.0,0.0,-0.29,1.66,0.0
20150102:0610,0.0,0.0,0.0,-0.52,1.43,0.0
20150102:0710,0.0,0.0,2.03,1.02,1.64,0.0
20150102:0810,363350.0,414.48,10.08,2.57,1.85,0.0
20150102:0910,269850.0,313.92,16.51,4.11,2.06,0.0
20150102:1010,649700.0,773.6,20.8,5.74,1.75,0.0
20150102:1110,599090.0,718.28,22.55,7.37,1.44,0.0
20150102:1210,532000.0,640.38,21.53,8.99,1.13,0.0
20150102:1310,638770.0,774.79,17.87,8.52,1.32,0.0
20150102:1410,271520.0,321.01,11.96,8.05,1.51,0.0
20150102:1510,79610.0,105.24,4.3,7.58,1.7,0.0
20150102:1610,0.0,0.0,0.0,6.32,1.78,0.0
20150102:1710,0.0,0.0,0.0,5.05,1.86,0.0
20150102:1810,0.0,0.0,0.0,3.79,1.94,0.0
20150102:1910,0.0,0.0,0.0,3.69,1.95,0.0
20150102:2010,0.0,0.0,0.0,3.59,1.96,0.0
20150102:2110,0.0,0.0,0.0,3.5,1.97,0.0
20150102:2210,0.0,0.0,0.0,3.4,2.09,0.0
20150102:2310,0.0,0.0,0.0,3.3,2.21,0.0
20150103:0010,0.0,0.0,0.0,3.2,2.33,0.0
20150103:0110,0.0,0.0,0.0,3.06,2.34,0.0
20150103:0210,0.0,0.0,0.0,2.92,2.34,0.0
20150103:0310,0.0,0.0,0.0,2.78,2.34,0.0
20150103:0410,0.0,0.0,0.0,2.68,2.39,0.0
20150103:0510,0.0,0.0,0.0,2.58,2.44,0.0
20150103:0610,0.0,0.0,0.0,2.48,2.48,0.0
20150103:0710,0.0,0.0,2.04,3.97,2.0,0.0
20150103:0810,383310.0,444.28,10.11,5.46,1.51,0.0
20150103:0910,595960.0,715.6,16.55,6.95,1.02,0.0
20150103:1010,590500.0,715.42,20.87,7.87,0.83,0.0
20150103:1110,624640.0,767.99,22.64,8.79,0.64,0.0
20150103:1210,617660.0,765.02,21.64,9.71,0.46,0.0
20150103:1310,548700.0,667.85,18.0,9.52,0.63,0.0
20150103:1410,545480.0,659.24,12.09,9.33,0.8,0.0
20150103:1510,237770.0,282.71,4.43,9.13,0.97,0.0
20150103:1610,0.0,0.0,0.0,8.42,1.47,0.0
20150103:1710,0.0,0.0,0.0,7.71,1.97,0.0
20150103:1810,0.0,0.0,0.0,7.0,2.47,0.0
20150103:1910,0.0,0.0,0.0,6.82,2.44,0.0
20150103:2010,0.0,0.0,0.0,6.64,2.41,0.0
20150103:2110,0.0,0.0,0.0,6.47,2.39,0.0
20150103:2210,0.0,0.0,0.0,6.28,2.59,0.0
20150103:2310,0.0,0.0,0.0,6.1,2.8,0.0
20150104:0010,0.0,0.0,0.0,5.92,3.01,0.0
20150104:0110,0.0,0.0,0.0,5.93,2.9,0.0
20150104:0210,0.0,0.0,0.0,5.94,2.8,0.0
20150104:0310,0.0,0.0,0.0,5.95,2.69,0.0
20150104:0410,0.0,0.0,0.0,5.59,2.47,0.0
20150104:0510,0.0,0.0,0.0,5.22,2.26,0.0
20150104:0610,0.0,0.0,0.0,4.86,2.04,0.0
20150104:0710,0.0,0.0,2.06,6.08,2.09,0.0
20150104:0810,525320.0,615.6,10.14,7.3,2.14,0.0
20150104:0910,666390.0,800.5,16.6,8.52,2.19,0.0
20150104:1010,704300.0,856.88,20.95,9.61,2.17,0.0
20150104:1110,706990.0,866.13,22.74,10.7,2.16,0.0
20150104:1210,701760.0,864.05,21.76,11.79,2.14,0.0
20150104:1310,685880.0,840.87,18.13,11.26,2.0,0.0
20150104:1410,563580.0,677.42,12.23,10.73,1.85,0.0
20150104:1510,198080.0,238.45,4.58,10.19,1.71,0.0
20150104:1610,0.0,0.0,0.0,8.89,1.66,0.0
20150104:1710,0.0,0.0,0.0,7.58,1.61,0.0
